ETD_WAYBILL_NO,ETD_EBTMNO,ETD_ROUTE_NO,ETD_ROUTE_TYPE,ETD_TRIP_NO,ETD_TICKET_TYPE,ETD_TICKET_NO,ETD_TICKET_SUBNO,ETD_CUR_STOP_NO,ETD_CUR_STOP_CODE,ETD_DST_STOP_NO,ETD_DST_STOP_CODE,ETD_CUR_SUB_STAGE,ETD_DST_SUB_STAGE,ETD_ADULTS,ETD_CHILD,ETD_ADULT_FARE,ETD_CHILD_FARE,ETD_AMOUNT,ETD_ARF,ETD_BRIDGE_FEE,ETD_MISC_FEE,ETD_DATE,ETD_TD_TIME,ETD_TRIPCOLL_AMT,ETD_DOC_NO,ETD_BUS_SRV_CODE,ETD_SEASON,ETD_TOT_COL_AMT,ETD_TICKET_TYPE2,ETD_DEPOT_CODE,ETD_LAST_UPD_DATE,ETD_UID,ETD_BATTERY_VOLT,ETD_CONCN_AMOUNT,ETD_CONCN_PERCENT,ETD_CUR_STOP_NAME,ETD_DST_STOP_NAME,ETD_KMS,ETD_TICKET_TYPE_DESCR
629080,50134882,000001,1,2,1,198317,0,014,035,013,034,0,0,01,00,10,0,10,0,0,0,01-NOV-18,08:31:48,3292,********,01,N,11621,01,201,01-NOV-18,SANTHOSH,7.81,0,0,BIRUR,KADUR,6,PASSENGER
629080,50134882,000001,1,2,1,198318,0,014,035,010,028,0,0,01,00,44,0,44,0,0,0,01-NOV-18,08:31:56,3336,********,01,N,11665,01,201,01-NOV-18,SANTHOSH,7.79,0,0,BIRUR,ARSIKERE,43,PASSENGER
629080,50134882,000001,1,2,1,198319,0,014,035,013,034,0,0,01,00,10,0,10,0,0,0,01-NOV-18,08:32:20,3346,********,01,N,11675,01,201,01-NOV-18,SANTHOSH,7.82,0,0,BIRUR,KADUR,6,PASSENGER
629080,50134882,000001,1,2,1,198320,0,014,035,013,034,0,0,01,00,10,0,10,0,0,0,01-NOV-18,08:32:22,3356,********,01,N,11685,01,201,01-NOV-18,SANTHOSH,7.78,0,0,BIRUR,KADUR,6,PASSENGER
629080,50134882,000001,1,2,1,198321,0,013,034,013,034,0,0,00,00,0,0,0,0,0,0,01-NOV-18,08:36:08,3356,********,01,O,11685,01,201,01-NOV-18,SANTHOSH,7.81,0,0,KADUR,KADUR,0,STAGE CHNGE
629080,50134882,000001,1,2,1,198322,0,013,034,011,030,0,0,01,00,30,0,30,0,0,0,01-NOV-18,08:46:57,3386,********,01,N,11715,01,201,01-NOV-18,SANTHOSH,7.82,0,0,KADUR,BANAVARA,14,PASSENGER
629080,50134882,000001,1,2,1,198323,0,013,034,010,028,0,0,01,00,0,0,0,0,0,0,01-NOV-18,08:47:16,3386,833,01,N,11715,98,201,01-NOV-18,SANTHOSH,7.8,40,100,KADUR,ARSIKERE,37,STUDENT PAS
629080,50134882,000001,1,2,1,198324,0,013,034,010,028,0,0,01,00,0,0,0,0,0,0,01-NOV-18,08:48:36,3386,266,01,N,11715,98,201,01-NOV-18,SANTHOSH,7.78,40,100,KADUR,ARSIKERE,37,GENERAL PAS
629080,50134882,000001,1,2,1,198325,0,013,034,010,028,0,0,01,00,40,0,40,0,0,0,01-NOV-18,08:48:42,3426,********,01,N,11755,01,201,01-NOV-18,SANTHOSH,7.8,0,0,KADUR,ARSIKERE,37,PASSENGER
629080,50134882,000001,1,2,1,198326,0,013,034,010,028,0,0,01,00,40,0,40,0,0,0,01-NOV-18,08:48:43,3466,********,01,N,11795,01,201,01-NOV-18,SANTHOSH,7.76,0,0,KADUR,ARSIKERE,37,PASSENGER
629080,50134882,000001,1,2,1,198327,0,013,034,010,028,0,0,01,00,0,0,0,0,0,0,01-NOV-18,08:49:03,3466,700,01,N,11795,98,201,01-NOV-18,SANTHOSH,7.76,40,100,KADUR,ARSIKERE,37,GENERAL PAS
629080,50134882,000001,1,2,1,198328,0,013,034,010,028,0,0,01,00,40,0,40,0,0,0,01-NOV-18,08:49:11,3506,********,01,N,11835,01,201,01-NOV-18,SANTHOSH,7.79,0,0,KADUR,ARSIKERE,37,PASSENGER
629080,50134882,000001,1,2,1,198329,0,013,034,010,028,0,0,01,00,40,0,40,0,0,0,01-NOV-18,08:49:32,3546,********,01,N,11875,01,201,01-NOV-18,SANTHOSH,7.79,0,0,KADUR,ARSIKERE,37,PASSENGER
629080,50134882,000001,1,2,1,198330,0,013,034,010,028,0,0,01,00,40,0,40,0,0,0,01-NOV-18,08:49:35,3586,********,01,N,11915,01,201,01-NOV-18,SANTHOSH,7.74,0,0,KADUR,ARSIKERE,37,PASSENGER
629080,50134882,000001,1,2,1,198331,0,013,034,010,028,0,0,01,00,40,0,40,0,0,0,01-NOV-18,08:50:01,3626,********,01,N,11955,01,201,01-NOV-18,SANTHOSH,7.78,0,0,KADUR,ARSIKERE,37,PASSENGER
629080,50134882,000001,1,2,1,198332,0,013,034,010,028,0,0,01,00,0,0,0,0,0,0,01-NOV-18,08:50:16,3626,682,01,N,11955,98,201,01-NOV-18,SANTHOSH,7.75,40,100,KADUR,ARSIKERE,37,GENERAL PAS
629080,50134882,000001,1,2,1,198333,0,013,034,012,032,0,0,02,00,15,0,30,0,0,0,01-NOV-18,08:50:23,3656,********,01,N,11985,01,201,01-NOV-18,SANTHOSH,7.78,0,0,KADUR,MATHIGATTA,6,PASSENGER
629080,50134882,000001,1,2,1,198334,0,013,034,012,032,0,0,01,00,0,0,0,0,0,0,01-NOV-18,08:50:33,3656,475,01,N,11985,98,201,01-NOV-18,SANTHOSH,7.75,15,100,KADUR,MATHIGATTA,6,BLIND PASS
629080,50134882,000001,1,2,1,198335,0,013,034,010,028,0,0,01,00,40,0,40,0,0,0,01-NOV-18,08:50:48,3696,********,01,N,12025,01,201,01-NOV-18,SANTHOSH,7.78,0,0,KADUR,ARSIKERE,37,PASSENGER
629080,50134882,000001,1,2,1,198336,0,013,034,010,028,0,0,01,00,40,0,40,0,0,0,01-NOV-18,08:51:05,3736,********,01,N,12065,01,201,01-NOV-18,SANTHOSH,7.77,0,0,KADUR,ARSIKERE,37,PASSENGER
629080,50134882,000001,1,2,1,198337,0,013,034,010,028,0,0,01,00,40,0,40,0,0,0,01-NOV-18,08:51:07,3776,********,01,N,12105,01,201,01-NOV-18,SANTHOSH,7.71,0,0,KADUR,ARSIKERE,37,PASSENGER
629080,50134882,000001,1,2,1,198338,0,013,034,010,028,0,0,01,00,40,0,30,0,0,0,01-NOV-18,08:51:26,3806,291,01,N,12135,01,201,01-NOV-18,SANTHOSH,7.75,0,0,KADUR,ARSIKERE,37,-----------
629080,50134882,000001,1,2,1,198339,0,013,034,010,028,0,0,01,00,40,0,40,0,0,0,01-NOV-18,08:51:28,3846,********,01,N,12175,01,201,01-NOV-18,SANTHOSH,7.71,0,0,KADUR,ARSIKERE,37,PASSENGER
